Name,Price,Price_Origin,LINK,IMG,RATING
Điện thoại Xiaomi Redmi Note 11 Pro 5G (8GB/128GB) - Hàng chính hãng,7.600.000 ₫,None,"https://tiki.vn/dien-thoai-xiaomi-redmi-note-11-pro-5g-8gb-128gb-hang-chinh-hang-p169756083.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.216725174&itm_medium=CPC&itm_source=tiki-reco&spid=216725174
",https://salt.tikicdn.com/cache/200x280/ts/product/a4/7a/8b/1b389783cfdc9ca01d6a2c8740e7e771.jpg,None

Điện thoại Xiaomi Redmi 10C (4GB/128GB) - Hàng chính hãng,3.005.000 ₫,3.649.000 ₫,"https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4gb-128gb-hang-chinh-hang-p172589109.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.179232841&itm_medium=CPC&itm_source=tiki-reco&spid=179232841
",https://salt.tikicdn.com/cache/200x280/ts/product/82/f8/b2/0d2a2bd247b294705f11d4d7c0e646b7.jpg,None

Điện Thoại Oppo A57 4GB/128GB - Hàng Chính Hãng,4.089.000 ₫,4.690.000 ₫,"https://tiki.vn/dien-thoai-oppo-a57-4gb-128gb-hang-chinh-hang-p205846229.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.205846231&itm_medium=CPC&itm_source=tiki-reco&spid=205846231
",https://salt.tikicdn.com/cache/200x280/ts/product/82/ce/3b/19f084c78373e6ecfc4e52f531965d81.jpg,None

"Điện thoại Masstel Hapi 15 (2GB/16GB) - Hàng chính hãng, Nguyên Seal",1.077.000 ₫,1.690.000 ₫,"https://tiki.vn/dien-thoai-masstel-hapi-15-2gb-16gb-hang-chinh-hang-nguyen-seal-p140309479.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.144629010&itm_medium=CPC&itm_source=tiki-reco&spid=144629010
",https://salt.tikicdn.com/cache/200x280/ts/product/0a/f4/6e/bd82d6dd543885cf0fa0e2d2fe9fbe6c.jpg,None

Điện Thoại Samsung A14 5G 4GB/128GB - Hàng Chính Hãng,4.589.000 ₫,5.190.000 ₫,"https://tiki.vn/dien-thoai-samsung-a14-5g-4gb-128gb-hang-chinh-hang-p215617756.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.215617758&itm_medium=CPC&itm_source=tiki-reco&spid=215617758
",https://salt.tikicdn.com/cache/200x280/ts/product/e9/f9/83/b88cfd64f38d98776b270a2fd916efc6.jpg,None

Điện Thoại Oppo Reno 8T 4G (8GB/256GB) - Hàng Chính Hãng,7.490.000 ₫,8.490.000 ₫,"https://tiki.vn/dien-thoai-oppo-reno-8t-4g-8gb-128gb-hang-chinh-hang-p216092766.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.216092770&itm_medium=CPC&itm_source=tiki-reco&spid=216092770
",https://salt.tikicdn.com/cache/200x280/ts/product/fd/f1/46/b54338c100df91542ceccdd8dd24da59.jpg,None

Điện thoại Samsung Galaxy S22 Ultra 5G (12GB/256GB) - Hàng Chính Hãng,32.782.000 ₫,None,"https://tiki.vn/dien-thoai-samsung-galaxy-s22-ultra-5g-12gb-256gb-hang-chinh-hang-p174589577.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.174589585&itm_medium=CPC&itm_source=tiki-reco&spid=174589585
",https://salt.tikicdn.com/cache/200x280/ts/product/87/a9/6e/4f861dd4a9cd6a05563403062e655a01.jpg,None

Samsung Galaxy A03s - Hàng Chính Hãng,2.239.000 ₫,3.500.000 ₫,"https://tiki.vn/samsung-galaxy-a03s-hang-chinh-hang-p122171440.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.196284867&itm_medium=CPC&itm_source=tiki-reco&spid=196284867
",https://salt.tikicdn.com/cache/200x280/ts/product/a6/cb/fc/7c26191a0b82e62e4c8c4baccc366872.jpg,None

"Điện thoại OUKITEL WP18 (Chống nước ,chống va đập, pin khủng 12500mAh, Ram 4GB ,Rom 32GB ,màn hình 5.93 inch,Điện thoại chắc chắn) – HÀNG CHÍNH HÃNG",3.990.000 ₫,None,"https://tiki.vn/dien-thoai-oukitel-wp18-chong-nuoc-chong-va-dap-pin-khung-12500mah-ram-4gb-rom-32gb-man-hinh-5-93-inch-dien-thoai-chac-chan-hang-chinh-hang-p208171115.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.208171116&itm_medium=CPC&itm_source=tiki-reco&spid=208171116
",https://salt.tikicdn.com/cache/200x280/ts/product/28/f2/c0/047f1b65d1c01cfc8d22b82944147e06.jpg,None

"Điện thoại ZTE Blade V40 Vita (ZTE 8045) - MH giọt nước HD+ 6.75"" - Pin 6000 mAh sạc nhanh 22.5W - Bộ nhớ mở rộng (4+2)GB - Hàng chính hãng",2.990.000 ₫,4.290.000 ₫,"https://tiki.vn/dien-thoai-zte-blade-v40-vita-mh-giot-nuoc-hd-6-75-pin-6000-mah-sac-nhanh-22-5w-bo-nho-mo-rong-4-2-gb-hang-chinh-hang-p181216830.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.181216834&itm_medium=CPC&itm_source=tiki-reco&spid=181216834
",https://salt.tikicdn.com/cache/200x280/ts/product/27/7d/f4/603a58923d11fa6ead49e6ab17168cf2.png,None

[Hàng Chính Hãng Quốc tế] Điện Thoại Xiaomi Black Shark 5 (8GB/128GB),14.500.000 ₫,None,"https://tiki.vn/hang-chinh-hang-quoc-te-dien-thoai-xiaomi-black-shark-5-8gb-128gb-p186591556.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.186591561&itm_medium=CPC&itm_source=tiki-reco&spid=186591561
",https://salt.tikicdn.com/cache/200x280/ts/product/d9/a2/66/aaf3f8c2ec7e3aa082efe115f779a466.png,None

Điện thoại Samsung Galaxy S22 Plus 5G (8GB/128GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,16.500.000 ₫,23.000.000 ₫,"https://tiki.vn/dien-thoai-samsung-galaxy-s22-plus-5g-8gb-128gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p168055450.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.216714974&itm_medium=CPC&itm_source=tiki-reco&spid=216714974
",https://salt.tikicdn.com/cache/200x280/ts/product/91/fd/bb/edf04cad458f0bdfebacae989ede8930.jpg,None

Điện Thoại OPPO RENO7 4G (8GB/128GB) - Hàng Chính Hãng,6.490.000 ₫,7.490.000 ₫,"https://tiki.vn/dien-thoai-oppo-reno7-4g-8gb-128gb-hang-chinh-hang-p176036536.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.176036540&itm_medium=CPC&itm_source=tiki-reco&spid=176036540
",https://salt.tikicdn.com/cache/200x280/ts/product/70/59/9b/183d29834a109b0587be4ce0d39bdbcf.jpg,None

